Id,Brand,Product,Quantity,Price,MRP,Category,Sub-Category,image_small
0,iD Fresho,"Idly Dosa Batter, 1 Kg + Malabar Parota, 350 g",Combo 2 Items, 116, 155,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/1214118_1-id-fresho-idly-dosa-batter-1-kg-malabar-parota-350-g.jpg
1,iD Fresho,Malabar Parota/Paratha,350 g Pouch , 42, 80,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/30003294_14-id-fresho-malabar-parotaparatha.jpg
2,iD Fresho,"Whole Wheat Parota, 350 g + Malabar Parota, 350 g",Combo 2 Items, 84, 160,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/1214119_1-id-fresho-whole-wheat-parota-350-g-malabar-parota-350-g.jpg
3,iD,Wheat Chapati,350 g , 70, 70,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/30003296_10-id-wheat-chapati.jpg
4,MTR,Breakfast Mix - Khaman Dhokla,160 g Pouch, 57, 60,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/40001431_8-mtr-breakfast-mix-khaman-dhokla.jpg
5,MTR,Breakfast Mix - Upma,160 g Pouch , 50, 50,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/265956_5-mtr-breakfast-mix-upma.jpg
6,MTR,Minute Pepper Rasam,60 g (Pack of 4), 30, 40,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/40200652_1-mtr-minute-pepper-rasam.jpg
7,MTR,Minute Garlic Rasam,60 g , 30, 40,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/40200651_1-mtr-minute-garlic-rasam.jpg
8,TATA Q,Heat To Eat - Cheesy Pasta With Black Olives,290 g , 99, 99,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/40180756_5-tata-q-heat-to-eat-cheesy-pasta-with-black-olives.jpg
9,MTR,Masala - Pav Bhaji,100 g Pouch , 85, 85,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/268007_16-mtr-masala-pav-bhaji.jpg
10,MTR,Ready To Eat - Dal Makhani,300 g Carton, 110, 110,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/265983_6-mtr-ready-to-eat-dal-makhani.jpg
11,MTR,Ready To Eat - Bisibele Bhath,300 g Carton, 99, 99,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/265997_5-mtr-ready-to-eat-bisibele-bhath.jpg
12,Kitchens Of India,Ready to Eat - Dal Makhani,285 g Carton, 104.50, 110,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/100006780_2-kitchens-of-india-ready-to-eat-dal-makhani.jpg
13,ITC Master Chef,Paneer Makhani Cooking Masala Paste,2x80 g Multipack , 142.50, 150,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/1213551_2-itc-master-chef-paneer-makhani-cooking-masala-paste.jpg
14,ITC Master Chef,"Cooking Paste - Vegetable Biryani, Easy To Cook, Ready to Cook Indian Paste",80 g  , 67.50, 75,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/40200613_2-itc-master-chef-cooking-paste-vegetable-biryani-easy-to-cook-ready-to-cook-indian-paste.jpg
15,ITC Master Chef,"All-Purpose Gravy - Onion Cashew, Pre-Cooked Indian Gravy",200 g  , 100, 100,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/40200617_2-itc-master-chef-all-purpose-gravy-onion-cashew-pre-cooked-indian-gravy.jpg
16,MTR,Ready To Eat - Palak Paneer,300 g , 135, 135,snacks branded foods,ready to cook eat,https://www.bigbasket.com/media/uploads/p/s/265987_6-mtr-ready-to-eat-palak-paneer.jpg
